time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-03-26,19.327065,34.102898,26.633495,0.12396202,18.234524,38.107273,1.4367565,25.589947
2022-03-27,19.327065,34.102898,26.633495,0.12396202,18.234524,38.107273,1.4367565,25.589947
2022-03-28,19.590025,34.151188,26.633495,0.12396202,17.274273,36.165478,1.4367565,24.752443
2022-03-29,19.861727,34.151188,26.993597,0.40788642,16.87084,35.508255,2.2664566,24.749363
2022-03-30,19.861727,34.151188,26.993597,0.40788642,16.87084,35.508255,2.2664566,24.749363
2022-03-31,20.75136,34.28172,27.400948,0.40788642,15.861643,35.52772,2.5951428,24.644888
2022-04-01,20.664213,34.28172,27.32265,0.23062876,15.875704,35.52772,2.8751526,25.421444
2022-04-02,20.664213,34.28172,27.32265,0.23062876,15.875704,35.52772,2.8751526,25.421444
2022-04-03,20.805544,34.142582,27.280005,0.21340367,17.523914,35.381687,1.646605,23.456074
2022-04-04,20.851587,33.962112,27.280005,0.21340367,17.09086,35.500565,1.1676843,24.46841
2022-04-05,20.806124,34.093967,27.280005,0.21340367,17.390709,35.500565,8.5990505,24.46841
2022-04-06,20.806124,34.093967,27.280005,0.21340367,17.390709,35.500565,8.5990505,24.46841
2022-04-07,20.214426,34.093967,27.25069,0.21340367,17.390709,35.500565,8.950447,24.010246
2022-04-08,20.284899,33.66094,26.749289,0.35377538,17.390709,35.500565,8.950447,24.385834
2022-04-09,20.284899,33.66094,26.749289,0.35377538,17.390709,35.500565,8.950447,24.385834
2022-04-10,20.297855,33.59337,26.177708,0.35377538,17.150839,35.500565,8.950447,24.374166
2022-04-11,20.279697,33.673847,26.26378,0.07705786,16.931126,35.500565,8.773994,23.451544
2022-04-12,20.500784,33.23822,26.388733,2.4350672,16.279858,35.500565,8.773994,23.275768
2022-04-13,20.500784,33.23822,26.388733,2.4350672,16.279858,35.500565,8.773994,23.275768
2022-04-14,20.447521,31.865574,25.127634,4.503734,16.02256,34.144924,42.67747,22.184507
2022-04-15,19.948027,31.865574,25.127634,7.928576,14.483084,34.144924,42.207844,22.178083
2022-04-16,19.948027,31.865574,25.127634,7.928576,14.483084,34.144924,42.207844,22.178083
2022-04-17,20.467653,32.730606,26.035448,2.2732413,14.095026,32.819088,15.645609,22.739922
2022-04-18,20.887314,32.730606,26.035448,3.604196,13.895808,33.037594,27.921032,22.207624
